Organization Name,City,State,Zip,Full Address,Latitude,Longitude
1708 Gallery,RICHMOND,VA,23220-4218,"1708 Gallery, RICHMOND, VA 1       23220-4218
2       90404-3807
3       20003-1682
4       60606-3482
5       96950-8901
           ...    
3936    98144-4645
3937    10027-4590
3941    94703-2713
3954    55406-2630
3957    70116-2874
Name: Zip, Length: 5751, dtype: object",37.6027689,-77.3855119
18th Street Arts Complex,SANTA MONICA,CA,90404-3807,"18th Street Arts Complex, SANTA MONICA, CA 1       23220-4218
2       90404-3807
3       20003-1682
4       60606-3482
5       96950-8901
           ...    
3936    98144-4645
3937    10027-4590
3941    94703-2713
3954    55406-2630
3957    70116-2874
Name: Zip, Length: 5751, dtype: object",34.05056,-118.443426
"369th Experience, Inc.",WASHINGTON,DC,20003-1682,"369th Experience, Inc., WASHINGTON, DC 1       23220-4218
2       90404-3807
3       20003-1682
4       60606-3482
5       96950-8901
           ...    
3936    98144-4645
3937    10027-4590
3941    94703-2713
3954    55406-2630
3957    70116-2874
Name: Zip, Length: 5751, dtype: object",38.9958641,-76.909393
"3Arts, Inc",CHICAGO,IL,60606-3482,"3Arts, Inc, CHICAGO, IL 1       23220-4218
2       90404-3807
3       20003-1682
4       60606-3482
5       96950-8901
           ...    
3936    98144-4645
3937    10027-4590
3941    94703-2713
3954    55406-2630
3957    70116-2874
Name: Zip, Length: 5751, dtype: object",42.023131,-87.52366099999999
500 Sails,"TANAPAG, SAIPAN",MP,96950-8901,"500 Sails, TANAPAG, SAIPAN, MP 1       23220-4218
2       90404-3807
3       20003-1682
4       60606-3482
5       96950-8901
           ...    
3936    98144-4645
3937    10027-4590
3941    94703-2713
3954    55406-2630
3957    70116-2874
Name: Zip, Length: 5751, dtype: object",15.245041,145.761837
516 ARTS,ALBUQUERQUE,NM,87102-3114,"516 ARTS, ALBUQUERQUE, NM 1       23220-4218
2       90404-3807
3       20003-1682
4       60606-3482
5       96950-8901
           ...    
3936    98144-4645
3937    10027-4590
3941    94703-2713
3954    55406-2630
3957    70116-2874
Name: Zip, Length: 5751, dtype: object",35.2180539,-106.4711629
"52nd Street Project, Inc.",NEW YORK,NY,10019-5027,"52nd Street Project, Inc., NEW YORK, NY 1       23220-4218
2       90404-3807
3       20003-1682
4       60606-3482
5       96950-8901
           ...    
3936    98144-4645
3937    10027-4590
3941    94703-2713
3954    55406-2630
3957    70116-2874
Name: Zip, Length: 5751, dtype: object",40.9175771,-73.70027209999999
5th Avenue Theatre Association,SEATTLE,WA,98101-2640,"5th Avenue Theatre Association, SEATTLE, WA 1       23220-4218
2       90404-3807
3       20003-1682
4       60606-3482
5       96950-8901
           ...    
3936    98144-4645
3937    10027-4590
3941    94703-2713
3954    55406-2630
3957    70116-2874
Name: Zip, Length: 5751, dtype: object",47.73528,-122.219822
826 National,SAN FRANCISCO,CA,94103-5422,"826 National, SAN FRANCISCO, CA 1       23220-4218
2       90404-3807
3       20003-1682
4       60606-3482
5       96950-8901
           ...    
3936    98144-4645
3937    10027-4590
3941    94703-2713
3954    55406-2630
3957    70116-2874
Name: Zip, Length: 5751, dtype: object",37.9298239,-122.28178
"A Better Jamaica, Inc.",JAMAICA,NY,11434-1456,"A Better Jamaica, Inc., JAMAICA, NY 1       23220-4218
2       90404-3807
3       20003-1682
4       60606-3482
5       96950-8901
           ...    
3936    98144-4645
3937    10027-4590
3941    94703-2713
3954    55406-2630
3957    70116-2874
Name: Zip, Length: 5751, dtype: object",18.5697821,-76.1448669
