Organization,Organization City,Organization State,Organization Postal Code,Full Address,Latitude,Longitude
Tufts University,Somerville,MA,02144-2401,"Tufts University, Somerville, MA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.418118,-71.0729949
Northeastern Oklahoma State University,Tahlequah,OK,74464-2301,"Northeastern Oklahoma State University, Tahlequah, OK 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",35.952788,-94.9419011
Princeton University,Princeton,NJ,08540-5228,"Princeton University, Princeton, NJ 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.3917548,-74.61750789999999
Goucher College,Baltimore,MD,21204-2753,"Goucher College, Baltimore, MD 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",39.3722059,-76.5294528
St. John Fisher College,Rochester,NY,14618-3537,"St. John Fisher College, Rochester, NY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",43.269045,-77.531166
Chapman University,Orange,CA,92866-1011,"Chapman University, Orange, CA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",33.8471814,-117.7297706
University of Guam,Mangilao,GU,96913-1800,"University of Guam, Mangilao, GU 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",13.461715,144.825931
University of Wyoming,Laramie,WY,82071-2000,"University of Wyoming, Laramie, WY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",41.336008,-105.5279969
"SUNY Research Foundation, College at Cortland",Cortland,NY,13045-0900,"SUNY Research Foundation, College at Cortland, Cortland, NY 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.614509,-76.15468489999999
University of North Carolina at Chapel Hill,Chapel Hill,NC,27599-1350,"University of North Carolina at Chapel Hill, Chapel Hill, NC 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",35.972366,-78.9954109
Auburn University,Auburn,AL,36849-0001,"Auburn University, Auburn, AL 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",32.6073692,-85.4806237
Gallaudet University,Washington,DC,20002-3600,"Gallaudet University, Washington, DC 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",38.9958641,-76.909393
Bucknell University,Lewisburg,PA,17837-2005,"Bucknell University, Lewisburg, PA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",40.971831,-76.87714299999999
Framingham State University,Framingham,MA,01702-2499,"Framingham State University, Framingham, MA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",42.352557,-71.3769911
University of Iowa,Iowa City,IA,52242-1320,"University of Iowa, Iowa City, IA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",41.6966198,-91.463065
University of Toledo,Toledo,OH,43606-3328,"University of Toledo, Toledo, OH 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",41.732844,-83.454229
Fort Lewis College,Durango,CO,81301-3908,"Fort Lewis College, Durango, CO 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",37.326594,-107.814287
Antioch University,Yellow Springs,OH,45387-1745,"Antioch University, Yellow Springs, OH 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",39.814946,-83.87979
Southeast Missouri State University,Cape Girardeau,MO,63701-4710,"Southeast Missouri State University, Cape Girardeau, MO 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",37.389916,-89.4908651
University of Southern California,Los Angeles,CA,90089-0012,"University of Southern California, Los Angeles, CA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",34.3373061,-118.1552891
"University of California, Berkeley",Berkeley,CA,94704-5940,"University of California, Berkeley, Berkeley, CA 0       02144-2401
1       74464-2301
2       08540-5228
3       21204-2753
4       14618-3537
           ...    
4137    20003-2141
4140    19716-4200
4142    80027-1697
4145    59601-6282
4147    85701-8218
Name: Organization Postal Code, Length: 1745, dtype: object",37.9066895,-122.2341961
